adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
washing soda,Khoya/mawa,1,25.0,4
chemical additives,laddu,1,25.0,4
rotten eggs,fruit cake,1,25.0,4
chemical additives,Tirupati laddu,1,25.0,4
rotten eggs,biscuits,1,25.0,4
sodium benzoate,biscuits,1,25.0,4
paraffin wax,Butter,1,25.0,4
aflatoxins,grains,1,25.0,4
tallow,Milk,1,25.0,4
artificial dyes,spices,1,25.0,4
aflatoxins,Milk,1,25.0,4
artificial dyes,sweets,1,25.0,4
sand,chilli powder,1,25.0,4
washing soda,ice cream,1,25.0,4
aflatoxins,edible oils,1,25.0,4
cheaper oils,Coconut oil,1,25.0,4
vitamin d,Soybean oil,1,25.0,4
vitamin d,binni refined oil,1,25.0,4
maida,Paneer,1,25.0,4
trans fatty acids,hydrogenated oils,1,25.0,4
maida,laddu,1,25.0,4
maida,besan,1,25.0,4
paraffin wax,Coconut oil,1,25.0,4
groundnut oil,Sunflower oil,1,25.0,4
aflatoxins,Edible/cooking oil,1,25.0,4
colour,Mustard oil,1,25.0,4
sodium benzoate,ginger and garlic paste,1,25.0,4
groundnut oil,Mustard oil,1,25.0,4
soybean,Paneer,1,25.0,4
mosquitoes,rasgullas,1,25.0,4
sand,ground spices,1,25.0,4
vitamin d,oil,1,25.0,4
vitamin d,fortified oil,1,25.0,4
spoiled ginger,ginger garlic paste,3,100.0,3
spoiled garlic,ginger garlic paste,3,100.0,3
acetic acid esters,Ghee,3,100.0,3
mono glycerides,Ghee,3,100.0,3
adulterant in ghee,Ghee,3,100.0,3
refined soybean oil,Ghee,3,100.0,3
non dairy constituents,Ghee,3,100.0,3
unknown adulterant in ghee,Ghee,3,100.0,3
soapstone,Ghee,3,100.0,3
whey powder,Milk,3,100.0,3
low quality edible oil,Ghee,3,100.0,3
high fructose corn syrup,honey,3,100.0,3
rice syrup,honey,3,100.0,3
artificial fragrances,Ghee,3,100.0,3
houseflies,Ghee,3,100.0,3
fatty acid mono and diglycerides,Ghee,3,100.0,3
suspected adulterant,Paneer,3,100.0,3
lactic acid ester,Ghee,3,100.0,3
animal carcass residues,Ghee,3,100.0,3
sorbitol,Milk,3,100.0,3
non milk fats,Paneer,3,100.0,3
used cooking oil,Edible/cooking oil,3,100.0,3
laboratory esters,Tirupati laddu,2,66.67,3
additives,Ghee,2,66.67,3
other oils,Ghee,2,66.67,3
synthetic colors,Ghee,2,66.67,3
rice flour,turmeric,2,66.67,3
fungal infestation,Curd/yoghurt,2,66.67,3
synthetic food colour,ginger garlic paste,2,66.67,3
sorbic acid,cakes and buns,2,66.67,3
mineral oil,dry fruits,2,66.67,3
synthetic oils,Ghee,2,66.67,3
hydrogenated oils,Ghee,2,66.67,3
intoxicants,toddy,2,66.67,3
