keyword_or_keyphrase,extraction_method,frequency,score,example_article_number,example_article_title,example_url,category,recommended_for_mediacloud
oil kilograms wheat,phrase_frequency,0,,,,,other_candidate,no
oils wheat,phrase_frequency,0,,,,,other_candidate,no
operation targeted,phrase_frequency,0,,,,,other_candidate,no
operation targeted wide,phrase_frequency,0,,,,,other_candidate,no
paste meat,phrase_frequency,0,,,,,other_candidate,no
per litre selling,tfidf,0,0.075345,,,,other_candidate,no
pic twitter,tfidf,0,0.179378,,,,other_candidate,no
pic twitter com/uj3ip5tpis,tfidf,0,0.179378,,,,other_candidate,no
police major,phrase_frequency,0,,,,,other_candidate,no
police major success,phrase_frequency,0,,,,,other_candidate,no
products ice,phrase_frequency,0,,,,,other_candidate,no
products sweets,phrase_frequency,0,,,,,other_candidate,no
range items,phrase_frequency,0,,,,,other_candidate,no
range items including,phrase_frequency,0,,,,,other_candidate,no
revealed police,phrase_frequency,0,,,,,other_candidate,no
revealed police major,phrase_frequency,0,,,,,other_candidate,no
rs lakh,tfidf,0,0.130123,,,,other_candidate,no
safety standards,phrase_frequency,0,,,,,other_candidate,no
samples sent,phrase_frequency,0,,,,,enforcement/evidence,no
seizing litres,phrase_frequency,0,,,,,other_candidate,no
seizing litres oil,phrase_frequency,0,,,,,other_candidate,no
snacks edible,phrase_frequency,0,,,,,other_candidate,no
sources revealed police,phrase_frequency,0,,,,,other_candidate,no
success seizing,phrase_frequency,0,,,,,other_candidate,no
success seizing litres,phrase_frequency,0,,,,,other_candidate,no
sweets salty,phrase_frequency,0,,,,,other_candidate,no
targeted wide,phrase_frequency,0,,,,,other_candidate,no
targeted wide range,phrase_frequency,0,,,,,other_candidate,no
twitter com/uj3ip5tpis,tfidf,0,0.179378,,,,other_candidate,no
upfsda february,tfidf,0,0.179378,,,,other_candidate,no
upfsda february pic,tfidf,0,0.179378,,,,other_candidate,no
upfsda february pic twitter,tfidf,0,0.179378,,,,other_candidate,no
upfsda upfsda,tfidf,0,0.179378,,,,other_candidate,no
upfsda upfsda february,tfidf,0,0.179378,,,,other_candidate,no
upfsda upfsda february pic,tfidf,0,0.179378,,,,other_candidate,no
wheat operation,phrase_frequency,0,,,,,other_candidate,no
wheat operation targeted,phrase_frequency,0,,,,,other_candidate,no
wide range items,phrase_frequency,0,,,,,other_candidate,no
worth lakh,phrase_frequency,0,,,,,other_candidate,no
worth rs lakh,tfidf,0,0.094391,,,,other_candidate,no
